"Artikel-Nr.";"Marke";"Bezeichnung";"EAN";"Status";"Sperrgut";"Palletenartikel";"Nicht für Endkunden";"Gewicht (Kg)";"Höhe (cm)";"Breite (cm)";"Tiefe (cm)";"Nachfolger";"Alternativen";"Einheit";"VE";"MwSt";"Endkundenpreis (€)";"Händlerpreis (€)";"Endkunden-Sonderpreis (€)";"Händler-Sonderpreis (€)";"Rabattstaffel 1 (Menge)";"Rabattstaffel 1 (%)";"Rabattstaffel 1(€)";"Rabattstaffel 2 (Menge)";"Rabattstaffel 2 (%)";"Rabattstaffel 2(€)";"Rabattstaffel 3 (Menge)";"Rabattstaffel 3 (%)";"Rabattstaffel 3(€)";"Rabattstaffel 4 (Menge)";"Rabattstaffel 4 (%)";"Rabattstaffel 4(€)";"Rabattstaffel 5 (Menge)";"Rabattstaffel 5 (%)";"Rabattstaffel 5(€)";"Rabattstaffel 6 (Menge)";"Rabattstaffel 6 (%)";"Rabattstaffel 6(€)";"Bestand";"Kommentar"
"109836";"CenturionPro";"CenturionPro 3.0 Electropolished Wet / Dry, Erntemaschine, für feuchte und trockene Ernte";"850019627053";"Normal";"Nein";"Ja";"Nein";360;193;106;123;"";"";"St";1;19;"27364,00";"12745,00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5 - Bestellware";"Wird gerne für Sie bestellt!"
"109837";"CenturionPro";"CenturionPro 3.0 Quantanium Wet / Dry, Erntemaschine, für feuchte und trockene Ernte";"";"Normal";"Nein";"Ja";"Nein";360;0;0;0;"";"";"St";1;19;"29860,00";"13245,00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5 - Bestellware";"Wird gerne für Sie bestellt!"
"109840";"Vitaponix";"Vitaponix VitaSilica, Pflanzenhilfsmittel, 1 Liter";"7445935826876";"Normal";"Nein";"Nein";"Nein";1,08;24;13;70;"";"";"St";1;19;"88,00";"36,25";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"109841";"Vitaponix";"Vitaponix VitaSilica, Pflanzenhilfsmittel, 5 Liter";"";"Normal";"Nein";"Nein";"Nein";0;0;0;0;"";"";"St";1;19;"360,00";"150,00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4 - nicht auf Lager";"Wird gerne für Sie bestellt!"
"109842";"Vitaponix";"Vitaponix VitaBud, Pflanzenhilfsmittel, 1 Liter";"7445935826814";"Normal";"Nein";"Nein";"Nein";1,08;24;13;7;"";"";"St";1;19;"55,00";"26,80";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3 - im Zulauf";""
"109843";"Vitaponix";"Vitaponix VitaBud, Pflanzenhilfsmittel, 5 Liter";"7445935826821";"Normal";"Nein";"Nein";"Nein";5,2;29;13;19;"";"";"St";1;19;"220,00";"107,30";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"109844";"Vitaponix";"Vitaponix VitaBulk, Düngemittel, NPK 0-50-30, 1 Liter";"7445935826845";"Normal";"Nein";"Nein";"Nein";1,08;24;13;7;"";"";"St";1;19;"52,35";"29,00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"109845";"Vitaponix";"Vitaponix VitaBulk, Düngemittel, NPK 0-50-30, 5 Liter";"";"Normal";"Nein";"Nein";"Nein";5,2;28;13;19;"";"";"St";1;19;"209,45";"116,00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"109847";"Vitaponix";"Vitaponix VitaSweet, Pflanzenhilfsmittel, 5 Liter";"7445935825893";"Normal";"Nein";"Nein";"Nein";5,2;29;19;13;"";"";"St";1;19;"98,20";"36,25";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"109848";"Vitaponix";"Vitaponix VitaCal, Pflanzenhilfsmittel, 1 Liter";"7445935825855";"Normal";"Nein";"Nein";"Nein";1,08;24;13;7;"";"";"St";1;19;"23,80";"8,90";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"109849";"Vitaponix";"Vitaponix VitaCal, Pflanzenhilfsmittel, 5 Liter";"8720938079054";"Normal";"Nein";"Nein";"Nein";5,2;29;13;19;"";"";"St";1;19;"95,20";"36,25";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"109850";"Vitaponix";"Vitaponix VitaRoot, Pflanzenhilfsmittel, 1 Liter";"8720938079023";"Normal";"Nein";"Nein";"Nein";1,08;24;13;7;"";"";"St";1;19;"38,20";"26,00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"109851";"Vitaponix";"Vitaponix VitaRoot, Pflanzenhilfsmittel, 5 Liter";"8720938079030";"Normal";"Nein";"Nein";"Nein";5,2;29;13;19;"";"";"St";1;19;"128,00";"65,25";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"109852";"Vitaponix";"Vitaponix VitaBase, Düngemittel, 1 Liter";"7445935824889";"Normal";"Nein";"Nein";"Nein";1,5;24;13;7;"";"";"St";1;19;"16,30";"11,60";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"109853";"Vitaponix";"Vitaponix VitaBase, Düngemittel, 5 Liter";"7445935824896";"Normal";"Nein";"Nein";"Nein";5,2;29;13;19;"";"";"St";1;19;"44,00";"27,55";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"109854";"Vitaponix";"Vitaponix VitaFinish, Pflanzenhilfsmittel, 1 Liter";"7445935826869";"Normal";"Nein";"Nein";"Nein";1,08;24;13;7;"";"";"St";1;19;"29,99";"13,05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"109855";"Vitaponix";"Vitaponix VitaFinish, Pflanzenhilfsmittel, 5 Liter";"";"Normal";"Nein";"Nein";"Nein";5,2;29;13;19;"";"";"St";1;19;"120,00";"58,70";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3 - im Zulauf";""
"109858";"Prima Klima";"Prima Klima PK160EC-TC, Rohrventilator 1180m³/h";"8594171432170";"Normal";"Nein";"Nein";"Nein";4,32;26;35;35;"";"";"St";1;19;"389,73";"206,00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3 - im Zulauf";""
"109859";"BioBizz";"Biobizz ALL-MIX, 20 L";"8718403231618";"Normal";"Nein";"Nein";"Nein";5;7;30;63;"";"";"St";1;19;"8,25";"4,57";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
"109860";"BioBizz";"BioBizz LIGHT-MIX, 20 L";"8718403231656";"Normal";"Nein";"Nein";"Nein";6,2;7;30;63;"";"";"St";1;19;"7,72";"3,27";"";"";"120,000";"3,00";"3,17";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 - lieferbar";""
